Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
karoo-switch-panel,Billet Switch Panel,"<p><em>Four-circuit control at your left thumb.</em></p><p>A machined four-switch panel that clamps to the bar or tower and gives you labelled, waterproof control of lighting, heated grips, aux power and comms. Pre-wired pigtails and a fused distribution block make the install tidy and repeatable.</p><h4>What's included</h4><ul><li>Switch panel</li><li>Fused distribution block</li><li>Pre-wired pigtails</li><li>Bar & tower clamps</li></ul><h4>Specifications</h4><ul><li>Material: 6082-T6 billet aluminium</li><li>Weight: 0.3 kg (0.7 lb)</li><li>Dimensions: 95 × 45 × 30 mm</li><li>Warranty: 2-year warranty</li><li>Install: Intermediate, 45 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024); KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Cockpit Accessories,"Cockpit Accessories, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-CKP-SW-4-SB,300,shopify,12,deny,manual,149,,TRUE,TRUE,,active
karoo-switch-panel,,,,,,,,Bronze Anodised,KM-CKP-SW-4-BA,300,shopify,12,deny,manual,149,,TRUE,TRUE,,
karoo-radiator-guards,Radiator Guards,"<p><em>Louvred billet guards that keep cores intact.</em></p><p>CNC-machined radiator guards with a louvred face that shields the cores from roost and branches while preserving airflow. A must for rocky single-track and bushveld two-track alike.</p><h4>What's included</h4><ul><li>Left & right guards</li><li>Stainless hardware</li><li>Fitment guide</li></ul><h4>Specifications</h4><ul><li>Material: 6082-T6 billet aluminium</li><li>Weight: 0.5 kg (1.1 lb)</li><li>Dimensions: Model-specific</li><li>Warranty: 2-year warranty</li><li>Install: Bolt-on, 30 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024)</p>",Karoo Moto,Protection,"Protection, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500",TRUE,Finish,Satin Black,KM-PRO-RAD-SB,500,shopify,12,deny,manual,179,,TRUE,TRUE,,active
karoo-radiator-guards,,,,,,,,Raw Brushed,KM-PRO-RAD-RB,500,shopify,12,deny,manual,179,,TRUE,TRUE,,
karoo-bash-plate,Front Bash Plate,"<p><em>Front-end armour for the big singles.</em></p><p>An extended front bash plate for the 690/701 platform that protects the header and lower frame rails on ledges and rock gardens, with quick-drain cutouts and service access retained.</p><h4>What's included</h4><ul><li>Bash plate</li><li>Isolation mounts</li><li>Stainless hardware</li></ul><h4>Specifications</h4><ul><li>Material: 4 mm 5052 aluminium</li><li>Weight: 1.6 kg (3.5 lb)</li><li>Dimensions: 410 × 290 × 130 mm</li><li>Warranty: 2-year warranty</li><li>Install: Bolt-on, 30 min</li></ul><h4>Fitment</h4><p>KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Protection,"Protection, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Raw,KM-PRO-BASH-R,1600,shopify,12,deny,manual,229,,TRUE,TRUE,,active
karoo-bash-plate,,,,,,,,Satin Black,KM-PRO-BASH-SB,1600,shopify,12,deny,manual,229,,TRUE,TRUE,,
karoo-side-carriers,Side Carrier Set,"<p><em>Symmetrical soft-luggage carriers that stay put.</em></p><p>A pair of tucked-in side carriers designed for soft panniers, keeping the load narrow and close to the bike. Laser-cut mounts index off the subframe and rear pegs for a rattle-free fit.</p><h4>What's included</h4><ul><li>Left & right carriers</li><li>Mounting kit</li><li>Fitment guide</li></ul><h4>Specifications</h4><ul><li>Material: 3CR12 stainless</li><li>Weight: 2.1 kg (4.6 lb)</li><li>Dimensions: Model-specific</li><li>Warranty: 3-year structural warranty</li><li>Install: Intermediate, 60 min</li></ul><h4>Fitment</h4><p>KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Luggage,"Luggage, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-LUG-SIDE-SB,2100,shopify,0,continue,manual,319,,TRUE,TRUE,,active
karoo-bar-risers,Billet Bar Risers,"<p><em>Stand-up ergonomics in 20 or 30 mm.</em></p><p>Machined bar risers that lift and pull the bars back for a natural standing position, with a clean clamp face and captive hardware. Available for 22 mm and 28.6 mm bars.</p><h4>What's included</h4><ul><li>Riser pair</li><li>Stainless bolts</li><li>Fitment guide</li></ul><h4>Specifications</h4><ul><li>Material: 6082-T6 billet aluminium</li><li>Weight: 0.4 kg (0.9 lb)</li><li>Dimensions: 20 mm or 30 mm rise</li><li>Warranty: 2-year warranty</li><li>Install: Bolt-on, 20 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024); KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Cockpit Accessories,"Cockpit Accessories, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-CKP-RISE-SB,400,shopify,12,deny,manual,119,,TRUE,TRUE,,active
karoo-bar-risers,,,,,,,,Bronze Anodised,KM-CKP-RISE-BA,400,shopify,12,deny,manual,119,,TRUE,TRUE,,
karoo-bar-risers,,,,,,,,Raw Brushed,KM-CKP-RISE-RB,400,shopify,12,deny,manual,119,,TRUE,TRUE,,
karoo-gps-mount,GPS Quick Mount,"<p><em>Tool-free device mount with a locking cradle.</em></p><p>An anti-vibration GPS mount with a quarter-turn locking interface that drops onto the Karoo Dash or any 22–28 mm bar. Sprung retention keeps units seated over corrugations.</p><h4>What's included</h4><ul><li>GPS mount</li><li>Bar & dash adapters</li><li>Hardware</li></ul><h4>Specifications</h4><ul><li>Material: Billet aluminium & glass-filled nylon</li><li>Weight: 0.2 kg (0.4 lb)</li><li>Dimensions: 80 × 60 × 55 mm</li><li>Warranty: 2-year warranty</li><li>Install: Bolt-on, 15 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024); KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Navigation Systems,"Navigation Systems, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-NAV-GPS-Q-SB,200,shopify,12,deny,manual,89,,TRUE,TRUE,,active
karoo-radio-mount,Radio & Comms Mount,"<p><em>Secure mounting for two-way radio and rally comms.</em></p><p>A billet cradle and bracket set that mounts a handheld or fixed two-way radio to the tower within easy reach, with strain-relief for the antenna and mic leads. Built for group rides and remote travel where comms are not optional.</p><h4>What's included</h4><ul><li>Radio cradle</li><li>Tower bracket</li><li>Strain-relief clips</li><li>Hardware</li></ul><h4>Specifications</h4><ul><li>Material: 6082-T6 billet aluminium</li><li>Weight: 0.3 kg (0.7 lb)</li><li>Dimensions: 110 × 70 × 60 mm</li><li>Warranty: 2-year warranty</li><li>Install: Bolt-on, 25 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024); KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Navigation Systems,"Navigation Systems, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-NAV-RADIO-SB,300,shopify,12,deny,manual,129,,TRUE,TRUE,,active
karoo-radio-mount,,,,,,,,Bronze Anodised,KM-NAV-RADIO-BA,300,shopify,12,deny,manual,129,,TRUE,TRUE,,
